Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
319	Bernhard	person	Q359047		IT			
319	Bernhard	person	Q359047		IT			
322	Bernhard	person	Q359047		IT			
322	Bernhard	person	Q359047		IT			
323	Bernhard	person	Q359047		IT			
323	Bernhard	person	Q359047		IT			
324	Bernhard	person	Q359047		IT			
324	Bernhard	person	Q359047		IT			
324	Bernhard	person	Q359047		IT			
324	Bernhard	person	Q359047		IT			
155	Albergo della Spada	organization		No Wikidata	IT			
325	Bernhard	person	Q359047		IT			
325	Bernhard	person	Q359047		IT			
155	St. Mark’s	organization			ERW			
325	Bernhard	person	Q359047		IT			
326	Bernhard	person	Q359047		IT			
327	Bernhard	person	Q359047		IT			
156	St. Mark’s	organization			ERW			
329	Bernhard	person	Q359047		IT			
330	Bernhard	person	Q359047		IT			
331	Bernhard	person	Q359047		IT			
158	Church	organization		Unspecified Chuch	IT			
332	Bernhard	person	Q359047		IT			
158	Motta di Livenza	location	Q48065		ERW	TRUE	FALSE	
158	Pordenone’s frescoes in the cloister of S. Stefano	art	Q974832	wikiID for the church where the art located	ERW			
158	S. Cristina	location	Q18502449		ERW	TRUE	FALSE	
333	Bernhard	person	Q359047		IT			
158	Stella d’Oro	organization			ERW			
333	Bernhard	person	Q359047		IT			
159	Duomo	organization	Q3045561		IT			
159	Pordenone in the Duomo	art	Q51149	treviso. wikiID for the church where the art located	ERW			
333	Bernhard	person	Q359047		IT			
333	Bernhard	person	Q359047		IT			
160	Costas	organization	Q3725701		IT			
333	Bernhard	person	Q359047		IT			
335	Bernhard	person	Q359047		IT			
335	Bernhard	person	Q359047		IT			
160	Hotel Tegetthof	organization		No wikidata	IT			
160	Pellegrino di	organization	Q732082		ERW			
335	Bernhard	person	Q359047		IT			
335	Bernhard	person	Q359047		IT			
336	Bernhard	person	Q359047		IT			
336	Bernhard	person	Q359047		IT			
336	Bernhard	person	Q359047		IT			
161	Pension Lejeune	location	N/A		ERW	TRUE	FALSE	
336	Bernhard	person	Q359047		IT			
337	Bernhard	person	Q359047		IT			
337	Bernhard	person	Q359047		IT			
337	Bernhard	person	Q359047		IT			
338	Bernhard	person	Q359047		IT			
338	Bernhard	person	Q359047		IT			
338	Bernhard	person	Q359047		IT			
162	Pension Lejeune	location	N/A		ERW	TRUE	FALSE	
340	Bernhard	person	Q359047		IT			
163	Albertina	organization	Q371908		IT			
340	Bernhard	person	Q359047		IT			
340	Bernhard	person	Q359047		IT			
340	Bernhard	person	Q359047		IT			
341	Bernhard	person	Q359047		IT			
163	Manon	organization			ERW			
341	Bernhard	person	Q359047		IT			
341	Bernhard	person	Q359047		IT			
341	Bernhard	person	Q359047		IT			
163	Pensione Lejeune	location	N/A		ERW	TRUE	FALSE	
163	Siberia	location			ERW	FALSE	FALSE	
164	Academy	organization	Q414219		IT			
341	Bernhard	person	Q359047		IT			
342	Bernhard	person	Q359047		IT			
342	Bernhard	person	Q359047		IT			
343	Bernhard	person	Q359047		IT			
164	Pensione Lejeune	location	N/A		ERW	TRUE	FALSE	
164	Prater	location	Q264752		ERW	TRUE	FALSE	
344	Bernhard	person	Q359047		IT			
165	Albertina	organization	Q371908		IT			
344	Bernhard	person	Q359047		IT			
345	Bernhard	person	Q359047		IT			
346	Bernhard	person	Q359047		IT			
346	Bernhard	person	Q359047		IT			
346	Bernhard	person	Q359047		IT			
346	Bernhard	person	Q359047		IT			
165	the “Roman School	organization			ERW			
165	the Greek bronze〈s〉	organization			ERW			
165	the Home Reading Room	organization			ERW			
346	Bernhard	person	Q359047		IT			
348	Bernhard	person	Q359047		IT			
166	Academy	organization	Q414219		IT			
348	Bernhard	person	Q359047		IT			
166	Albertina	organization	Q371908		IT			
348	Bernhard	person	Q359047		IT			
349	Bernhard	person	Q359047		IT			
350	Bernhard	person	Q359047		IT			
350	Bernhard	person	Q359047		IT			
350	Bernhard	person	Q359047		IT			
350	Bernhard	person	Q359047		IT			
351	Bernhard	person	Q359047		IT			
351	Bernhard	person	Q359047		IT			
166	Mélandri	organization			ERW			
166	Met Napier Myles	organization			ERW			
351	Bernhard	person	Q359047		IT			
